strain	cluster
USA/WA-UW302/2020	15
USA/WA-UW304/2020	15
USA/WA-S76/2020	15
USA/WA-UW265/2020	15
USA/WA-UW-525/2020	15
USA/WA-UW-6315/2020	15
USA/WA-UW-4633/2020	15
USA/WA-UW-4759/2020	15
USA/WA-S279/2020	15
USA/WA-UW15/2020	15
USA/WA-S150/2020	15
USA/WA-UW180/2020	15
USA/WA-UW76/2020	15
USA/WA-UW-4585/2020	15
USA/WA-UW174/2020	15
USA/WA-S32/2020	15
USA/WA-S28/2020	15
USA/WA-UW270/2020	15
USA/WA-UW91/2020	15
USA/WA-UW-3959/2020	15
USA/WA-UW292/2020	15
USA/WA-UW204/2020	15
USA/WA-UW231/2020	15
USA/WA-UW-3365/2020	15
USA/WA-UW234/2020	15
USA/WA-UW83/2020	15
USA/WA-UW26/2020	15
USA/WA-UW35/2020	15
USA/WA-UW36/2020	15
USA/WA-UW74/2020	15
USA/WA-UW-1821/2020	15
USA/WA-S8/2020	15
USA/WA-UW-1708/2020	15
USA/WA-UW290/2020	15
USA/WA-UW-1840/2020	15
USA/WA-S594/2020	15
USA/WA-UW-2521/2020	15
USA/WA-S595/2020	15
USA/WA-UW-3003/2020	15
USA/WA-UW-3069/2020	15
USA/WA-UW-1920/2020	15
USA/WA-UW297/2020	15
USA/WA-UW-7242/2020	15
USA/WA-UW-6547/2020	15
USA/WA-UW-5152/2020	15
USA/WA-UW-1944/2020	15
USA/WA-UW-5144/2020	15
USA/WA-UW-1279/2020	15
USA/WA-UW-6511/2020	15
USA/WA-UW-523/2020	15
USA/WA-UW-6353/2020	15
USA/WA-UW-6562/2020	15
USA/WA-S598/2020	15
USA/WA-UW-3616/2020	15
USA/WA-S609/2020	15
USA/WA-UW-1730/2020	15
USA/WA-UW-1822/2020	15
USA/WA-UW-2595/2020	15
USA/WA-S337/2020	15
USA/WA-S503/2020	15
USA/WA-UW42/2020	15
USA/WA-S257/2020	15
USA/WA-UW30/2020	15
USA/WA-UW28/2020	15
USA/WA-UW387/2020	15
USA/WA13-UW9/2020	15
USA/WA-UW37/2020	15
USA/WA-UW-1656/2020	15
USA/WA-UW-3853/2020	15
USA/WA-UW-1362/2020	15
USA/WA-UW84/2020	15
USA/WA-UW-6806/2020	15
USA/WA-UW-4747/2020	15
USA/WA-S232/2020	15
USA/WA-S255/2020	15
USA/WA-QDX-02-2/2020	15
USA/WA-QDX-02/2020	15
USA/WA-UW-4039/2020	15
USA/WA-UW-4335/2020	15
USA/WA-UW107/2020	15
USA/WA-S414/2020	15
USA/WA-UW385/2020	15
USA/WA-UW339/2020	15
USA/WA-UW281/2020	15
USA/WA-UW62/2020	15
USA/WA-S545/2020	15
USA/WA-UW-3809/2020	15
USA/WA-UW-1603/2020	15
USA/WA-UW320/2020	15
USA/WA-UW-1919/2020	15
USA/WA-UW-4281/2020	15
USA/WA-UW-4330/2020	15
USA/WA-UW-1638/2020	15
USA/WA-UW-1843/2020	15
USA/WA-UW139/2020	15
USA/WA-UW101/2020	15
USA/WA-UW342/2020	15
USA/WA-UW-682/2020	15
USA/WA-UW208/2020	15
USA/WA-QDX-563/2020	15
USA/WA-UW367/2020	15
USA/WA-UW225/2020	15
USA/WA-UW-1673/2020	15
USA/WA-UW363/2020	15
USA/WA-S110/2020	15
USA/WA-S270/2020	15
USA/WA-UW129/2020	15
USA/WA-UW-1946/2020	15
USA/WA-S238/2020	15
USA/WA-S11/2020	15
USA/WA-S259/2020	15
USA/WA-UW305/2020	15
USA/WA-UW-2548/2020	15
USA/WA-UW220/2020	15
USA/WA-UW344/2020	15
USA/WA-UW112/2020	15
USA/WA-UW-4609/2020	15
USA/WA-UW146/2020	15
USA/WA-S157/2020	15
USA/WA-UW-5428/2020	15
USA/WA-UW-2141/2020	15
USA/WA-UW113/2020	15
USA/WA-S158/2020	15
USA/WA-UW317/2020	15
USA/WA-UW44/2020	15
USA/WA-UW43/2020	15
USA/WA-UW229/2020	15
USA/WA-S251/2020	15
USA/WA-UW59/2020	15
USA/WA-QDX-526/2020	15
USA/WA-S459/2020	15
USA/WA-S159/2020	15
USA/WA-UW-831/2020	15
USA/WA-UW378/2020	15
USA/WA-UW368/2020	15
USA/WA-S264/2020	15
USA/WA-S283/2020	15
USA/WA-UW-1315/2020	15
USA/WA-UW-1296/2020	15
USA/WA-UW-1729/2020	15
USA/WA-QDX-2542/2020	15
USA/WA-UW-596/2020	15
USA/WA-UW205/2020	15
USA/WA-QDX-573/2020	15
USA/WA-UW289/2020	15
USA/WA-UW157/2020	15
USA/WA-UW195/2020	15
USA/WA-UW-6488/2020	15
USA/WA-S219/2020	15
USA/WA-UW198/2020	15
USA/WA8-UW5/2020	15
USA/WA-UW72/2020	15
USA/WA-UW-5860/2020	15
USA/WA-S1479/2020	15
USA/WA-S1489/2020	15
USA/WA2/2020	15
USA/WA-S254/2020	15
USA/WA-S7/2020	15
USA/WA-S42/2020	15
USA/WA-CDC-8375/2020	15
USA/WA-CDC-8384/2020	15
USA/WA-S47/2020	15
USA/WA-S48/2020	15
USA/WA-S302/2020	15
USA/WA-UW-1591/2020	15
USA/WA-UW-1297/2020	15
USA/WA9-UW6/2020	15
USA/WA-UW79/2020	15
USA/WA-UW316/2020	15
USA/WA-UW-1735/2020	15
USA/WA-UW-3814/2020	15
USA/WA-S510/2020	15
USA/WA-UW-4688/2020	15
USA/WA-UW-5750/2020	15
USA/WA-UW-4657/2020	15
USA/WA-UW-6990/2020	15
USA/WA-S590/2020	15
USA/WA-UW-2862/2020	15
USA/WA-UW-3900/2020	15
USA/WA-UW-6187/2020	15
USA/WA-S593/2020	15
USA/WA-UW-1709/2020	15
USA/WA-UW-2937/2020	15
USA/WA-S58/2020	15
USA/WA-S529/2020	15
USA/WA-UW31/2020	15
USA/WA-S106/2020	15
USA/WA-S23/2020	15
USA/WA-S22/2020	15
USA/WA-UW-9755/2020	15
USA/WA-UW-9504/2020	15
USA/WA-UW-9534/2020	15
USA/WA-UW-6527/2020	15
USA/WA-UW-9532/2020	15
USA/WA-UW-10609/2020	15
USA/WA-UW-10795/2020	15
USA/WA-S107/2020	15
USA/WA-S86/2020	15
USA/WA-UW68/2020	15
USA/WA-UW-1587/2020	15
USA/WA-UW244/2020	15
USA/WA-S140/2020	15
USA/WA-S139/2020	15
USA/WA-UW323/2020	15
USA/WA-UW332/2020	15
USA/WA-S19/2020	15
USA/WA-S20/2020	15
USA/WA16-UW12/2020	15
USA/WA15-UW11/2020	15
USA/WA17-UW13/2020	15
USA/WA-UW286/2020	15
USA/WA-UW338/2020	15
USA/WA-UW-2076/2020	15
USA/WA-UW-6441/2020	15
USA/WA-UW-1835/2020	15
USA/WA-S161/2020	15
USA/WA-S160/2020	15
USA/WA-UW102/2020	15
USA/WA-UW182/2020	15
USA/WA-UW-1334/2020	15
USA/WA-UW-383/2020	15
USA/WA-S260/2020	15
USA/WA-UW214/2020	15
USA/WA-S258/2020	15
USA/WA-UW55/2020	15
USA/WA-S165/2020	15
USA/WA-UW175/2020	15
USA/WA-S166/2020	15
USA/WA-UW370/2020	15
USA/WA-UW207/2020	15
USA/WA-UW-1896/2020	15
USA/WA-UW361/2020	15
USA/WA-UW144/2020	15
USA/WA-UW239/2020	15
USA/WA-UW-3834/2020	15
USA/WA-S265/2020	15
USA/WA-UW-572/2020	15
USA/WA-UW-1784/2020	15
USA/WA-UW-1349/2020	15
USA/WA-UW232/2020	15
USA/WA-UW221/2020	15
USA/WA-UW-1300/2020	15
USA/WA-QDX-2327/2020	15
USA/WA-UW390/2020	15
USA/WA-UW-2039/2020	15
USA/WA-UW111/2020	15
USA/WA-UW130/2020	15
USA/WA-UW-1427/2020	15
USA/WA-UW278/2020	15
USA/WA-UW46/2020	15
USA/WA-UW97/2020	15
USA/WA-UW-1782/2020	15
USA/WA-UW-2526/2020	15
USA/WA-UW-6242/2020	15
USA/WA-UW-6484/2020	15
USA/WA-UW-3529/2020	15
USA/WA-UW-382/2020	15
USA/WA-UW87/2020	15
USA/WA-UW-1247/2020	15
USA/WA-UW-5782/2020	15
USA/WA-UW-3904/2020	15
USA/WA-UW116/2020	15
USA/WA-UW-4051/2020	15
USA/WA-UW-1320/2020	15
USA/WA-UW-1441/2020	15
USA/WA-UW-3908/2020	15
USA/WA-UW-1670/2020	15
USA/WA-S318/2020	15
USA/WA-QDX-1080/2020	15
USA/WA-QDX-1084/2020	15
USA/WA-S713/2020	15
USA/WA-UW-1828/2020	15
USA/WA-UW-2885/2020	15
USA/WA-S872/2020	15
USA/WA-S852/2020	15
USA/WA-S856/2020	15
USA/WA-S853/2020	15
USA/WA-S1203/2020	15
USA/WA-UW-1768/2020	15
USA/WA-S903/2020	15
USA/WA-S854/2020	15
USA/WA-UW-2686/2020	15
USA/WA-S894/2020	15
USA/WA-S855/2020	15
USA/WA-S871/2020	15
USA/WA-S857/2020	15
USA/WA-UW-1238/2020	15
USA/WA-UW355/2020	15
USA/WA-UW-6321/2020	15
USA/WA-S586/2020	15
USA/WA-S484/2020	15
USA/WA-UW-4546/2020	15
USA/WA-S491/2020	15
USA/WA-S439/2020	15
USA/WA-S526/2020	15
USA/WA-S548/2020	15
USA/WA-S496/2020	15
USA/WA-S454/2020	15
USA/WA-S331/2020	15
USA/WA-S574/2020	15
USA/WA-S553/2020	15
USA/WA-UW-6596/2020	15
USA/WA-UW-2344/2020	15
USA/WA-S336/2020	15
USA/WA-S385/2020	15
USA/WA-S563/2020	15
USA/WA-S527/2020	15
USA/WA-S576/2020	15
USA/WA-S568/2020	15
USA/WA-S451/2020	15
USA/WA-S455/2020	15
USA/WA-S575/2020	15
USA/WA-S499/2020	15
USA/WA-S505/2020	15
USA/WA-S444/2020	15
USA/WA-S465/2020	15
USA/WA-S490/2020	15
USA/WA-S441/2020	15
USA/WA-S538/2020	15
USA/WA-S2/2020	15
USA/WA-S84/2020	15
USA/WA-S78/2020	15
USA/WA-S77/2020	15
USA/WA-UW236/2020	15
USA/WA-UW141/2020	15
USA/WA-UW-753/2020	15
USA/WA-UW126/2020	15
USA/WA-UW-4555/2020	15
USA/WA-UW384/2020	15
USA/WA-UW171/2020	15
USA/WA-S296/2020	15
USA/WA-UW-2305/2020	15
USA/WA-UW-1271/2020	15
USA/WA-S190/2020	15
USA/WA-UW-1321/2020	15
USA/WA-UW217/2020	15
USA/WA-UW88/2020	15
USA/WA-UW-3950/2020	15
USA/WA-S463/2020	15
USA/WA-S325/2020	15
USA/WA-S1014/2020	15
USA/WA-S1087/2020	15
USA/WA-S951/2020	15
USA/WA-S1008/2020	15
USA/WA-S1022/2020	15
USA/WA-S1009/2020	15
USA/WA-S1013/2020	15
USA/WA-S1367/2020	15
USA/WA-S1334/2020	15
USA/WA-S632/2020	15
USA/WA-S1191/2020	15
USA/WA-S1364/2020	15
USA/WA-S1394/2020	15
USA/WA-S1143/2020	15
USA/WA-S1176/2020	15
USA/WA-S950/2020	15
USA/WA-S758/2020	15
USA/WA-S1193/2020	15
USA/WA-S1161/2020	15
USA/WA-S1194/2020	15
USA/WA-S1371/2020	15
USA/WA-S1538/2020	15
USA/WA-S1366/2020	15
USA/WA-S1542/2020	15
USA/WA-S1362/2020	15
USA/WA-S1372/2020	15
USA/WA-S1420/2020	15
USA/WA-S1238/2020	15
USA/WA-S1174/2020	15
USA/WA-S1368/2020	15
USA/WA-S850/2020	15
USA/WA-S1016/2020	15
USA/WA-S1190/2020	15
USA/WA-S1370/2020	15
USA/WA-S1958/2020	15
USA/WA-S1363/2020	15
USA/WA-S1322/2020	15
USA/WA-S70/2020	15
USA/WA-S292/2020	15
USA/WA-S298/2020	15
USA/WA-QDX-1273/2020	15
USA/WA-UW336/2020	15
USA/WA-S73/2020	15
USA/WA-S680/2020	15
USA/WA-S727/2020	15
USA/WA-S519/2020	15
USA/WA-S383/2020	15
USA/WA-UW-2370/2020	15
USA/WA-S923/2020	15
USA/WA-S2400/2020	15
USA/WA-S2009/2020	15
USA/WA-S542/2020	15
USA/WA-S546/2020	15
USA/WA-UW-3413/2020	15
USA/WA-UW-2280/2020	15
USA/WA-S237/2020	15
USA/WA-S54/2020	15
USA/WA-S50/2020	15
USA/WA-UW-2304/2020	15
USA/WA-UW-5205/2020	15
USA/WA-UW-5182/2020	15
USA/WA-S578/2020	15
USA/WA-UW-865/2020	15
USA/WA-S1059/2020	15
USA/WA-S837/2020	15
USA/WA-S1058/2020	15
USA/WA-S842/2020	15
USA/WA-S841/2020	15
USA/WA-S641/2020	15
USA/WA-S920/2020	15
USA/WA-S320/2020	15
USA/WA-S380/2020	15
USA/WA-S447/2020	15
USA/WA-S555/2020	15
USA/WA-S326/2020	15
USA/WA-S316/2020	15
USA/WA-S311/2020	15
USA/WA-S317/2020	15
USA/WA-S761/2020	15
USA/WA-S324/2020	15
USA/WA-S1251/2020	15
USA/WA-S346/2020	15
USA/WA-S428/2020	15
USA/WA-S304/2020	15
USA/WA-S340/2020	15
USA/WA-S319/2020	15
USA/WA-S1438/2020	15
USA/WA-S1385/2020	15
USA/WA-S1516/2020	15
USA/WA-S1506/2020	15
USA/WA-S1507/2020	15
USA/WA-S1509/2020	15
USA/WA-S1508/2020	15
USA/WA-S1379/2020	15
USA/WA-S1378/2020	15
USA/WA-S658/2020	15
USA/WA-S756/2020	15
USA/WA-S345/2020	15
USA/WA-S466/2020	15
USA/WA-S333/2020	15
USA/WA-S673/2020	15
USA/WA-S672/2020	15
USA/WA-S699/2020	15
USA/WA-S726/2020	15
USA/WA-S762/2020	15
USA/WA-S760/2020	15
USA/WA-S755/2020	15
USA/WA-S721/2020	15
USA/WA-S790/2020	15
USA/WA-S814/2020	15
USA/WA-S2068/2020	15
USA/WA-S213/2020	15
USA/WA-S222/2020	15
USA/WA-S99/2020	15
USA/WA-S40/2020	15
USA/WA-S101/2020	15
USA/WA-S44/2020	15
USA/WA-S103/2020	15
USA/WA-S102/2020	15
USA/WA-S234/2020	15
USA/WA-S105/2020	15
USA/WA-S3/2020	15
USA/WA4-UW2/2020	15
USA/WA-S241/2020	15
USA/WA-S63/2020	15
USA/WA-S39/2020	15
USA/WA-S38/2020	15
USA/WA-UW98/2020	15
USA/WA-S138/2020	15
USA/WA-UW-669/2020	15
USA/WA-UW-555/2020	15
USA/WA-UW-4562/2020	15
USA/WA-UW-2953/2020	15
USA/WA-S61/2020	15
USA/WA-S74/2020	15
USA/WA-S79/2020	15
USA/WA-S71/2020	15
USA/WA-S75/2020	15
USA/WA-S69/2020	15
USA/WA-S263/2020	15
USA/WA-S268/2020	15
USA/WA-UW20/2020	15
USA/WA18-UW14/2020	15
USA/WA-UW18/2020	15
USA/WA-S80/2020	15
USA/WA-S56/2020	15
USA/WA-UW21/2020	15
USA/WA-UW131/2020	15
USA/WA-UW201/2020	15
USA/WA-UW106/2020	15
USA/WA-UW-3521/2020	15
USA/WA-UW24/2020	15
USA/WA-S85/2020	15
USA/WA14-UW10/2020	15
USA/WA-UW16/2020	15
USA/WA-UW-191/2020	15
USA/WA-UW-197/2020	15
USA/WA-UW143/2020	15
USA/WA-UW-379/2020	15
USA/WA-UW94/2020	15
USA/WA-UW77/2020	15
USA/WA-S248/2020	15
USA/WA-UW89/2020	15
USA/WA-UW86/2020	15
USA/WA-UW63/2020	15
USA/WA-UW70/2020	15
USA/WA-UW90/2020	15
USA/WA-S246/2020	15
USA/WA-S55/2020	15
USA/WA-S108/2020	15
USA/WA-S46/2020	15
USA/WA-S45/2020	15
USA/WA-S93/2020	15
USA/WA-S92/2020	15
USA/WA-S100/2020	15
USA/WA-S98/2020	15
USA/WA-S281/2020	15
USA/WA-S123/2020	15
USA/WA-S5/2020	15
USA/WA-S235/2020	15
USA/WA-S10/2020	15
USA/WA-S6/2020	15
USA/WA6-UW3/2020	15
USA/WA-S115/2020	15
USA/WA-S51/2020	15
USA/WA-S53/2020	15
USA/WA-S52/2020	15
USA/WA-S57/2020	15
USA/WA-S250/2020	15
USA/WA-S65/2020	15
USA/WA-CDC-8379/2020	15
USA/WA-CDC-8378/2020	15
USA/WA-S13/2020	15
USA/WA-CDC-8381/2020	15
USA/WA-S12/2020	15
USA/WA-S16/2020	15
USA/WA-CDC-8377/2020	15
USA/WA-S18/2020	15
USA/WA-CDC-8376/2020	15
USA/WA-UW75/2020	15
USA/WA-S269/2020	15
USA/WA-UW151/2020	15
USA/WA-UW61/2020	15
USA/WA-UW-335/2020	15
USA/WA-QDX-570/2020	15
USA/WA-UW-2987/2020	15
USA/WA-UW56/2020	15
USA/WA-UW57/2020	15
USA/WA-UW81/2020	15
USA/WA-UW58/2020	15
USA/WA-UW-334/2020	15
USA/WA-S359/2020	15
USA/WA-S573/2020	15
USA/WA-UW-3827/2020	15
USA/WA-S354/2020	15
USA/WA-S396/2020	15
USA/WA-S418/2020	15
USA/WA-S450/2020	15
USA/WA-S372/2020	15
USA/WA-S374/2020	15
USA/WA-S912/2020	15
USA/WA-S2443/2020	15
USA/WA-S2387/2020	15
USA/WA-S1996/2020	15
USA/WA-S2054/2020	15
USA/WA-S277/2020	15
USA/WA-S82/2020	15
USA/WA-S253/2020	15
USA/WA-S21/2020	15
USA/WA-S36/2020	15
USA/WA-S29/2020	15
USA/WA-S24/2020	15
USA/WA-S116/2020	15
USA/WA-S59/2020	15
USA/WA-S122/2020	15
USA/WA-S91/2020	15
USA/WA-S256/2020	15
USA/WA-S117/2020	15
USA/WA-S15/2020	15
USA/WA-S26/2020	15
USA/WA-S43/2020	15
USA/WA-S877/2020	15
USA/WA-S193/2020	15
USA/WA-UW-3634/2020	15
USA/WA-UW95/2020	15
USA/WA-S310/2020	15
USA/WA-UW-1351/2020	15
USA/WA-S239/2020	15
USA/WA-S437/2020	15
USA/WA-UW372/2020	15
USA/WA-QDX-1060/2020	15
USA/WA-UW373/2020	15
USA/WA-UW-4682/2020	15
USA/WA-UW-4776/2020	15
USA/WA-UW-4632/2020	15
USA/WA-UW-1314/2020	15
USA/WA-UW-1448/2020	15
USA/WA-UW-2705/2020	15
USA/WA-UW-1988/2020	15
USA/WA-UW-3041/2020	15
USA/WA-UW-1986/2020	15
USA/WA-QDX-529/2020	15
USA/WA-UW-3046/2020	15
USA/WA-UW-3048/2020	15
USA/WA-UW-3052/2020	15
USA/WA-UW-1984/2020	15
USA/WA-UW-4331/2020	15
USA/WA-UW-2048/2020	15
USA/WA-S172/2020	15
USA/WA_0418/2020	15
USA/WA-S196/2020	15
USA/WA-S187/2020	15
USA/WA-UW215/2020	15
USA/WA-UW-3078/2020	15
USA/WA_0441/2020	15
USA/WA-S173/2020	15
USA/WA_0484/2020	15
USA/WA-S224/2020	15
USA/WA_0797/2020	15
USA/WA-S215/2020	15
USA/WA_0457/2020	15
USA/WA-S227/2020	15
USA/WA-UW-3816/2020	15
USA/WA-S201/2020	15
USA/WA-S194/2020	15
USA/WA-NH3/2020	15
USA/WA-NH2/2020	15
USA/WA-NH8/2020	15
USA/WA-NH4/2020	15
USA/WA-NH10/2020	15
USA/WA-NH9/2020	15
USA/WA-NH17/2020	15
USA/WA-NH12/2020	15
USA/WA-S133/2020	15
USA/WA-NH18/2020	15
USA/WA-S125/2020	15
USA/WA-S136/2020	15
USA/WA-S131/2020	15
USA/WA-S135/2020	15
USA/WA-UW189/2020	15
USA/WA-S132/2020	15
USA/WA-S124/2020	15
USA/WA-UW-1599/2020	15
USA/WA-S178/2020	15
USA/WA-S207/2020	15
USA/WA-S211/2020	15
USA/WA-UW-1683/2020	15
USA/WA-S306/2020	15
USA/WA-S230/2020	15
USA/WA-S185/2020	15
USA/WA-S212/2020	15
USA/WA-S229/2020	15
USA/WA_0427/2020	15
USA/WA-S210/2020	15
USA/WA_0429/2020	15
USA/WA_0428/2020	15
USA/WA_0440/2020	15
USA/WA_0434/2020	15
USA/WA_0448/2020	15
USA/WA_0442/2020	15
USA/WA_0480/2020	15
USA/WA_0478/2020	15
USA/WA-S184/2020	15
USA/WA-S177/2020	15
USA/WA-S183/2020	15
USA/WA-S175/2020	15
USA/WA-S181/2020	15
USA/WA-S174/2020	15
USA/WA-S88/2020	15
USA/WA-S109/2020	15
USA/WA-S236/2020	15
USA/WA-S118/2020	15
USA/WA-S249/2020	15
USA/WA-S34/2020	15
USA/WA-S121/2020	15
USA/WA-NH5/2020	15
USA/WA-S128/2020	15
USA/WA-UW300/2020	15
USA/WA-UW-1705/2020	15
USA/WA-UW-1744/2020	15
USA/WA-UW-114/2020	15
USA/WA-UW39/2020	15
USA/WA-UW17/2020	15
USA/WA-UW-192/2020	15
USA/WA-UW-185/2020	15
USA/WA-UW-194/2020	15
USA/WA-UW-195/2020	15
USA/WA-UW41/2020	15
USA/WA-UW-182/2020	15
USA/WA-UW33/2020	15
USA/WA-UW51/2020	15
USA/WA-UW118/2020	15
USA/WA-UW92/2020	15
USA/WA-UW121/2020	15
USA/WA-UW103/2020	15
USA/WA-UW-518/2020	15
USA/WA-UW105/2020	15
USA/WA-UW173/2020	15
USA/WA-UW279/2020	15
USA/WA-UW145/2020	15
USA/WA-UW-6162/2020	15
USA/WA-S606/2020	15
USA/WA-UW226/2020	15
USA/WA-UW-1666/2020	15
USA/WA-UW-1672/2020	15
USA/WA-UW-4591/2020	15
USA/WA-UW-4663/2020	15
USA/WA-S66/2020	15
USA/WA-S72/2020	15
USA/WA-S288/2020	15
USA/WA-S287/2020	15
USA/WA-UW23/2020	15
USA/WA-S240/2020	15
USA/WA-S111/2020	15
USA/WA-NH7/2020	15
USA/WA-NH6/2020	15
USA/WA-NH14/2020	15
USA/WA-NH11/2020	15
USA/WA-NH20/2020	15
USA/WA-NH19/2020	15
USA/WA-NH22/2020	15
USA/WA-NH21/2020	15
USA/WA-NH24/2020	15
USA/WA-NH23/2020	15
USA/WA-S126/2020	15
USA/WA-S141/2020	15
USA/WA-S127/2020	15
USA/WA-S129/2020	15
USA/WA-S130/2020	15
USA/WA-S142/2020	15
USA/WA-UW315/2020	15
USA/WA-UW-690/2020	15
USA/WA-UW209/2020	15
USA/WA-UW298/2020	15
USA/WA-UW167/2020	15
USA/WA-UW152/2020	15
USA/WA-UW183/2020	15
USA/WA-UW274/2020	15
USA/WA-UW206/2020	15
USA/WA-S134/2020	15
USA/WA-UW299/2020	15
USA/WA-UW-681/2020	15
USA/WA-UW-2258/2020	15
USA/WA-UW-1760/2020	15
USA/WA-S1277/2020	15
USA/WA-UW253/2020	15
USA/WA-S286/2020	15
USA/WA-UW177/2020	15
USA/WA-UW179/2020	15
USA/WA-UW147/2020	15
USA/WA-QDX-2241/2020	15
USA/WA-UW294/2020	15
USA/WA-UW-822/2020	15
USA/WA-UW235/2020	15
USA/WA-UW-1863/2020	15
USA/WA-S309/2020	15
USA/WA-UW-2249/2020	15
USA/WA-QDX-2176/2020	15
USA/WA-QDX-288/2020	15
USA/WA-UW-2250/2020	15
USA/WA-S348/2020	15
USA/WA-UW-2247/2020	15
USA/WA-UW-3917/2020	15
USA/WA-S386/2020	15
USA/WA-S927/2020	15
USA/WA-S2405/2020	15
USA/WA-S2014/2020	15
USA/WA-UW369/2020	15
USA/WA-UW-1274/2020	15
USA/WA-UW-1347/2020	15
USA/WA-UW364/2020	15
USA/WA-QDX-1058/2020	15
USA/WA-UW376/2020	15
USA/WA-UW-1273/2020	15
USA/WA-S322/2020	15
USA/WA-UW-2599/2020	15
USA/WA-UW-4032/2020	15
